0,1,2,3,4,5,6,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,care_sent,fairness_sent,loyalty_sent,authority_sent,sanctity_sent,moral_nonmoral_ratio,f_var,sent_var,,,,,,,,,,,,,,,,
2005,q&a,random,general live event,About religious moderates,FALSE,FALSE,0.029714285714285714,0.032,0.01875,0.051770682148040634,0,-0.005120769,0.013124583333333332,-0.042237333,0.089269904,0,5,0.000360372,0.002336446,,,About nonreligious people,TRUE,TRUE,0,0,0.070979475,0,0,0,0,0.12709226190476194,0,0,Atheists
2005,q&a,random,general live event,About religious moderates,TRUE,FALSE,0.024761904761904763,0.040656714,0,0.036290323,0.069159544,0.004267308,0.012563019741439552,0,0.017174691,-0.004569579,2,0.000631736,7.965035730624642e-05,,,About atheists,FALSE,TRUE,0.051470588,0,0,0,0.09,0.16740000000000002,0,0,0,0.051588889,Atheists
2005,q&a,random,general live event,About religious moderates,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,,,About Christian preachers atheists,TRUE,TRUE,0.098412358,0.026788403,0.011677654190862133,0,0,-0.164943924,-0.02779,0.047835714285714294,0,0,Atheists
2005,q&a,random,general live event,About religious people,TRUE,FALSE,0,0.046229523,0.031028368794326237,0,0.065217391,0,-0.04799349,0.040418571428571436,0,-0.028170833,2,0.000823349,0.00111877,,,About atheists,TRUE,TRUE,0,0.15762330474974154,0,0,0,0,-0.047488123,0,0,0,Atheists
2005,q&a,random,general live event,About secular people,TRUE,FALSE,0.035190446,0.006427305,0.050966883,0.011290322580645162,0.022727272727272724,0.012163636,0.000300287,0.10269155999230127,0.000764286,-0.014393056,2.4,0.000328919,0.002209953,,,About secular people,TRUE,TRUE,0.13580780632411069,0.022033898305084745,0,0,0,0.1826375,-0.027419231,0,0,0,Atheists
2005,q&a,random,rather atheist live event,About atheists,FALSE,TRUE,0.14894419306184012,0.075757576,0,0,0,0.36119090909090906,0.24580923076923067,0,0,0,3,0.004456351,0.029297804195808096,,,"About scientists, secularists and atheists",TRUE,TRUE,0.068965517,0,0,0,0.13043478260869565,-0.078204808,0,0,0,-0.056341667,Atheists
2005,q&a,random,rather atheist live event,About atheists,TRUE,TRUE,0.1176470588235294,0,0,0,0.11363636363636365,-0.195375,0,0,0,0.23429000000000005,2,0.004013912,0.023190079820000008,,,About Christian preachers atheists,TRUE,TRUE,0.098412358,0.026788403,0.011677654190862133,0,0,-0.164943924,-0.02779,0.047835714285714294,0,0,Atheists
2005,q&a,random,rather atheist live event,About Christian fundamentalists,FALSE,FALSE,0.031459561,0.037749287749287756,0.011629699824940018,0.023148148,0.046168901859958776,0.01940043,0.014728055555555557,-0.028876786,-0.019796759,-0.092806304,1.7142857142857142,0.000177007,0.002031805,,,,,,,,,,,,,,,,
2005,q&a,random,rather atheist live event,About Christian fundamentalists,FALSE,TRUE,0.1516370328322133,0,0,0,0,0.14037222222222231,0,0,0,0,4,0.004598758,0.003940872,,,,,,,,,,,,,,,,
2005,q&a,random,rather atheist live event,About Christian fundamentalists,TRUE,FALSE,0.042781717,0.039777293,0.049661704,0.004916964,0.006683375,-0.028468104,0.036560887,0.012163649477817163,-0.005876289,-0.006360526,1.3571428571428572,0.000452685,0.000589302,,,About Christian fundamentalists,TRUE,FALSE,0.048756661,0.028940887,0.031180401,0,0.078947368,-0.056802778,-0.012375,-0.004144643,0,-0.019545833,Christians
2005,q&a,random,rather atheist live event,About Christian fundamentalists,TRUE,TRUE,0.014880952380952382,0.038829866,0,0.034562211981566816,0.039569161,0.021359999999999997,0.058852503,0,0.024333673469387754,-0.04279881,1.75,0.000305185,0.001395296,,,About Christians,FALSE,FALSE,0.042042042,0.078935116,0,0,0,0.010468571428571424,0.021649391534391528,0,0,0,Christians
2005,q&a,random,rather atheist live event,About Christians,FALSE,FALSE,0,0.10192966075319015,0.032401242787394584,0,0,0,-0.07297,-0.013197717,0,0,0.75,0.001957634,0.001003456,,,About Christians,FALSE,TRUE,0.1950266429840142,0,0,0,0,0.2272111111111113,0,0,0,0,Christians
